username,제품관심,loyalty_Lv1,loyalty_Lv2,loyalty_Lv3,loyalty_Lv1_mean,loyalty_Lv2_mean,loyalty_Lv3_mean
babyjongok,334,19081,24587,2467,515.7027027,664.5135135,66.67567568
h.yun_b,663,14282,47596,6098,204.0285714,679.9428571,87.11428571
hoonxxy,3528,194105,439096,15790,942.2572816,2131.533981,76.65048544
jiseong,287,12496,9904,3956,390.5,309.5,123.625
jun_seonng,198,1666,3385,4467,92.55555556,188.0555556,248.1666667
kkang.stylist,3,472,68,333,236,34,166.5
seer__eul,2473,52922,200056,18962,203.5461538,769.4461538,72.93076923
soominnnnn,517,17761,58985,3663,211.4404762,702.202381,43.60714286
w_woo.n,400,15924,15168,15812,201.5696203,192,200.1518987
zzjun.k,2503,169733,63838,89893,782.1797235,294.1843318,414.2534562
