username,year_month,comments_count,comments_count,like_count,like_count
,,sum,mean,sum,mean
babyjongok,2022-09,183,91.5,4387,2193.5
babyjongok,2022-10,165,82.5,3522,1761.0
babyjongok,2022-11,224,112.0,3818,1909.0
babyjongok,2022-12,82,82.0,1369,1369.0
babyjongok,2023-01,225,112.5,3797,1898.5
babyjongok,2023-02,443,110.75,7928,1982.0
babyjongok,2023-03,835,139.16666666666666,11980,1996.6666666666667
babyjongok,2023-04,1204,172.0,18497,2642.4285714285716
babyjongok,2023-05,983,196.6,13139,2627.8
babyjongok,2023-06,357,178.5,4991,2495.5
babyjongok,2023-07,920,230.0,9915,2478.75
h.yun_b,2022-09,657,93.85714285714286,23398,3342.5714285714284
h.yun_b,2022-10,946,135.14285714285714,33045,4720.714285714285
h.yun_b,2022-11,1302,118.36363636363636,29854,2714.0
h.yun_b,2022-12,1584,144.0,21147,1922.4545454545455
h.yun_b,2023-01,411,137.0,3938,1312.6666666666667
h.yun_b,2023-02,1328,120.72727272727273,13119,1192.6363636363637
h.yun_b,2023-03,839,119.85714285714286,8276,1182.2857142857142
h.yun_b,2023-04,564,112.8,7341,1468.2
h.yun_b,2023-05,267,89.0,1960,653.3333333333334
h.yun_b,2023-06,241,80.33333333333333,561,187.0
h.yun_b,2023-07,136,68.0,646,323.0
hoonxxy,2023-01,4090,227.22222222222223,22008,1222.6666666666667
hoonxxy,2023-02,7811,269.3448275862069,38781,1337.2758620689656
hoonxxy,2023-03,8271,229.75,39153,1087.5833333333333
hoonxxy,2023-04,6126,235.6153846153846,32618,1254.5384615384614
hoonxxy,2023-05,8064,230.4,45090,1288.2857142857142
hoonxxy,2023-06,7026,292.75,35992,1499.6666666666667
hoonxxy,2023-07,7660,247.09677419354838,28474,918.516129032258
hoonxxy,2023-08,1520,217.14285714285714,5259,751.2857142857143
jiseong,2021-03,24,24.0,1201,1201.0
jiseong,2021-04,59,29.5,2460,1230.0
jiseong,2021-05,246,61.5,14071,3517.75
jiseong,2021-07,98,98.0,6033,6033.0
jiseong,2021-08,188,94.0,7073,3536.5
jiseong,2021-09,121,121.0,7360,7360.0
jiseong,2021-10,183,91.5,6378,3189.0
jiseong,2022-01,84,84.0,2533,2533.0
jiseong,2022-02,186,93.0,4666,2333.0
jiseong,2022-04,88,88.0,2341,2341.0
jiseong,2022-05,73,73.0,1744,1744.0
jiseong,2022-06,90,90.0,2132,2132.0
jiseong,2022-10,101,101.0,2582,2582.0
jiseong,2022-11,67,67.0,1944,1944.0
jiseong,2023-01,99,99.0,4095,4095.0
jiseong,2023-02,70,70.0,1678,1678.0
jiseong,2023-03,147,73.5,4158,2079.0
jiseong,2023-04,89,89.0,1969,1969.0
jiseong,2023-05,295,73.75,7752,1938.0
jiseong,2023-06,120,120.0,9739,9739.0
jiseong,2023-07,94,94.0,2507,2507.0
jun_seonng,2021-03,148,148.0,3114,3114.0
jun_seonng,2021-06,126,126.0,2357,2357.0
jun_seonng,2023-02,255,42.5,3375,562.5
jun_seonng,2023-03,347,38.55555555555556,3474,386.0
jun_seonng,2023-07,64,64.0,7620,7620.0
kkang.stylist,2023-01,8,8.0,2611,2611.0
kkang.stylist,2023-03,9,9.0,2317,2317.0
seer__eul,2022-05,759,75.9,23139,2313.9
seer__eul,2022-06,1003,77.15384615384616,47509,3654.5384615384614
seer__eul,2022-07,1266,105.5,37367,3113.9166666666665
seer__eul,2022-08,1525,117.3076923076923,29817,2293.6153846153848
seer__eul,2022-09,1365,151.66666666666666,24859,2762.1111111111113
seer__eul,2022-10,3456,144.0,65180,2715.8333333333335
seer__eul,2022-11,4880,168.27586206896552,79262,2733.1724137931033
seer__eul,2022-12,4379,175.16,68771,2750.84
seer__eul,2023-01,3212,178.44444444444446,42683,2371.277777777778
seer__eul,2023-02,3122,173.44444444444446,32834,1824.111111111111
seer__eul,2023-03,3538,168.47619047619048,33412,1591.047619047619
seer__eul,2023-04,3084,140.1818181818182,32383,1471.9545454545455
