username,year_month,comments_count_sum,comments_count_mean,like_count_sum,like_count_mean
babyjongok,2022-09,183,92,4387,2194
babyjongok,2022-10,165,83,3522,1761
babyjongok,2022-11,224,112,3818,1909
babyjongok,2022-12,82,82,1369,1369
babyjongok,2023-01,225,113,3797,1899
babyjongok,2023-02,443,111,7928,1982
babyjongok,2023-03,835,139,11980,1997
babyjongok,2023-04,1204,172,18497,2642
babyjongok,2023-05,983,197,13139,2628
babyjongok,2023-06,357,179,4991,2496
babyjongok,2023-07,920,230,9915,2479
h.yun_b,2022-09,657,94,23398,3343
h.yun_b,2022-10,946,135,33045,4721
h.yun_b,2022-11,1302,118,29854,2714
h.yun_b,2022-12,1584,144,21147,1922
h.yun_b,2023-01,411,137,3938,1313
h.yun_b,2023-02,1328,121,13119,1193
h.yun_b,2023-03,839,120,8276,1182
h.yun_b,2023-04,564,113,7341,1468
h.yun_b,2023-05,267,89,1960,653
h.yun_b,2023-06,241,80,561,187
h.yun_b,2023-07,136,68,646,323
hoonxxy,2023-01,4090,227,22008,1223
hoonxxy,2023-02,7811,269,38781,1337
hoonxxy,2023-03,8271,230,39153,1088
hoonxxy,2023-04,6126,236,32618,1255
hoonxxy,2023-05,8064,230,45090,1288
hoonxxy,2023-06,7026,293,35992,1500
hoonxxy,2023-07,7660,247,28474,919
hoonxxy,2023-08,1520,217,5259,751
jiseong,2021-03,24,24,1201,1201
jiseong,2021-04,59,30,2460,1230
jiseong,2021-05,246,62,14071,3518
jiseong,2021-07,98,98,6033,6033
jiseong,2021-08,188,94,7073,3537
jiseong,2021-09,121,121,7360,7360
jiseong,2021-10,183,92,6378,3189
jiseong,2022-01,84,84,2533,2533
jiseong,2022-02,186,93,4666,2333
jiseong,2022-04,88,88,2341,2341
jiseong,2022-05,73,73,1744,1744
jiseong,2022-06,90,90,2132,2132
jiseong,2022-10,101,101,2582,2582
jiseong,2022-11,67,67,1944,1944
jiseong,2023-01,99,99,4095,4095
jiseong,2023-02,70,70,1678,1678
jiseong,2023-03,147,74,4158,2079
jiseong,2023-04,89,89,1969,1969
jiseong,2023-05,295,74,7752,1938
jiseong,2023-06,120,120,9739,9739
jiseong,2023-07,94,94,2507,2507
jun_seonng,2021-03,148,148,3114,3114
jun_seonng,2021-06,126,126,2357,2357
jun_seonng,2023-02,255,43,3375,563
jun_seonng,2023-03,347,39,3474,386
jun_seonng,2023-07,64,64,7620,7620
kkang.stylist,2023-01,8,8,2611,2611
kkang.stylist,2023-03,9,9,2317,2317
seer__eul,2022-05,759,76,23139,2314
seer__eul,2022-06,1003,77,47509,3655
seer__eul,2022-07,1266,106,37367,3114
seer__eul,2022-08,1525,117,29817,2294
seer__eul,2022-09,1365,152,24859,2762
seer__eul,2022-10,3456,144,65180,2716
seer__eul,2022-11,4880,168,79262,2733
seer__eul,2022-12,4379,175,68771,2751
seer__eul,2023-01,3212,178,42683,2371
seer__eul,2023-02,3122,173,32834,1824
seer__eul,2023-03,3538,168,33412,1591
