username,media_product_type,media_type,comments_count,comments_count,like_count,like_count
,,,sum,mean,sum,mean
babyjongok,FEED,CAROUSEL_ALBUM,5264,154.8235294117647,77037,2265.794117647059
babyjongok,FEED,IMAGE,357,119.0,6306,2102.0
h.yun_b,FEED,CAROUSEL_ALBUM,8275,118.21428571428571,143285,2046.9285714285713
hoonxxy,FEED,CAROUSEL_ALBUM,50568,245.4757281553398,247375,1200.8495145631068
jiseong,FEED,CAROUSEL_ALBUM,2522,78.8125,94416,2950.5
jun_seonng,FEED,CAROUSEL_ALBUM,901,53.0,18602,1094.235294117647
jun_seonng,REELS,VIDEO,39,39.0,1338,1338.0
kkang.stylist,FEED,CAROUSEL_ALBUM,17,8.5,4928,2464.0
seer__eul,FEED,CAROUSEL_ALBUM,36941,145.43700787401573,558726,2199.7086614173227
seer__eul,FEED,IMAGE,717,143.4,11025,2205.0
seer__eul,REELS,VIDEO,32,32.0,0,0.0
soominnnnn,FEED,CAROUSEL_ALBUM,14262,198.08333333333334,220927,3068.4305555555557
soominnnnn,FEED,IMAGE,2063,206.3,24554,2455.4
soominnnnn,REELS,VIDEO,219,109.5,3217,1608.5
w_woo.n,FEED,CAROUSEL_ALBUM,3189,45.55714285714286,110798,1582.8285714285714
w_woo.n,FEED,IMAGE,283,40.42857142857143,7965,1137.857142857143
w_woo.n,REELS,VIDEO,23,11.5,635,317.5
zzjun.k,FEED,CAROUSEL_ALBUM,6030,27.788018433179722,263641,1214.9354838709678
