username,media_product_type,media_type,comments_count_sum,comments_count_mean,like_count_sum,like_count_mean
babyjongok,FEED,CAROUSEL_ALBUM,5264,155,77037,2266
babyjongok,FEED,IMAGE,357,119,6306,2102
h.yun_b,FEED,CAROUSEL_ALBUM,8275,118,143285,2047
hoonxxy,FEED,CAROUSEL_ALBUM,50568,245,247375,1201
jiseong,FEED,CAROUSEL_ALBUM,2522,79,94416,2951
jun_seonng,FEED,CAROUSEL_ALBUM,901,53,18602,1094
jun_seonng,REELS,VIDEO,39,39,1338,1338
kkang.stylist,FEED,CAROUSEL_ALBUM,17,9,4928,2464
seer__eul,FEED,CAROUSEL_ALBUM,36941,145,558726,2200
seer__eul,FEED,IMAGE,717,143,11025,2205
seer__eul,REELS,VIDEO,32,32,0,0
soominnnnn,FEED,CAROUSEL_ALBUM,14262,198,220927,3068
soominnnnn,FEED,IMAGE,2063,206,24554,2455
soominnnnn,REELS,VIDEO,219,110,3217,1609
w_woo.n,FEED,CAROUSEL_ALBUM,3189,46,110798,1583
w_woo.n,FEED,IMAGE,283,40,7965,1138
w_woo.n,REELS,VIDEO,23,12,635,318
zzjun.k,FEED,CAROUSEL_ALBUM,6030,28,263641,1215
