username,followers_count,media_count,ad_media,sf_ad_media,image_usage_Lv1,image_usage_Lv2,fashion_rel,marketing_performance
seer__eul,107419,534,288,260,0.539325843,0.486891386,0.902777778,231.6565894
w_woo.n,74842,516,197,79,0.381782946,0.153100775,0.401015228,101.7697101
hoonxxy,12738,458,252,206,0.550218341,0.449781659,0.817460317,1080.815631
kkang.stylist,104142,809,8,2,0.00988875155,0.00247218789,0.25,43.43397461
babyjongok,43628,189,52,37,0.275132275,0.195767196,0.711538462,148.5202137
soominnnnn,139714,653,215,84,0.329249617,0.12863706,0.390697674,6.859674419
jun_seonng,119328,261,113,18,0.432950192,0.0689655172,0.159292035,43.58278866
zzjun.k,15524,405,218,217,0.538271605,0.535802469,0.995412844,155.3738822
h.yun_b,100080,487,114,70,0.234086242,0.143737166,0.614035088,55.28893537
jiseong,75466,144,57,32,0.395833333,0.222222222,0.561403509,241.9263126
