username,year_month,comments_count,comments_count,like_count,like_count
,,sum,mean,sum,mean
babyjongok,2021-01,44,44.0,1627,1627.0
babyjongok,2021-05,50,50.0,1157,1157.0
babyjongok,2021-06,88,29.333333333333332,3487,1162.3333333333333
babyjongok,2021-07,47,47.0,1576,1576.0
babyjongok,2021-08,168,56.0,4839,1613.0
babyjongok,2021-12,20,20.0,1100,1100.0
babyjongok,2022-01,53,53.0,1637,1637.0
babyjongok,2022-02,35,35.0,1660,1660.0
babyjongok,2022-03,131,65.5,3548,1774.0
babyjongok,2022-04,64,32.0,3458,1729.0
babyjongok,2022-06,58,29.0,3215,1607.5
babyjongok,2022-07,304,60.8,11295,2259.0
babyjongok,2022-08,620,88.57142857142857,15258,2179.714285714286
babyjongok,2022-09,1270,127.0,29623,2962.3
babyjongok,2022-10,775,86.11111111111111,16774,1863.7777777777778
babyjongok,2022-11,1079,134.875,17368,2171.0
babyjongok,2022-12,286,71.5,4395,1098.75
babyjongok,2023-01,1135,103.18181818181819,17815,1619.5454545454545
babyjongok,2023-02,1481,123.41666666666667,25565,2130.4166666666665
babyjongok,2023-03,2179,145.26666666666668,31732,2115.4666666666667
babyjongok,2023-04,2654,189.57142857142858,36358,2597.0
babyjongok,2023-05,4872,180.44444444444446,70732,2619.703703703704
babyjongok,2023-06,4350,197.72727272727272,57755,2625.2272727272725
babyjongok,2023-07,4704,213.8181818181818,54956,2498.0
babyjongok,2023-08,1655,331.0,15628,3125.6
h.yun_b,2022-01,33,16.5,671,335.5
h.yun_b,2022-03,271,67.75,30763,7690.75
h.yun_b,2022-04,246,27.333333333333332,13703,1522.5555555555557
h.yun_b,2022-05,304,30.4,16229,1622.9
h.yun_b,2022-06,1810,90.5,326179,16308.95
h.yun_b,2022-07,1061,50.523809523809526,68838,3278.0
h.yun_b,2022-08,1977,79.08,197686,7907.44
h.yun_b,2022-09,3451,115.03333333333333,184054,6135.133333333333
h.yun_b,2022-10,3858,116.9090909090909,147074,4456.787878787879
h.yun_b,2022-11,4052,126.625,123428,3857.125
h.yun_b,2022-12,5016,147.52941176470588,98926,2909.5882352941176
h.yun_b,2023-01,4943,145.38235294117646,80118,2356.4117647058824
h.yun_b,2023-02,4377,128.73529411764707,106819,3141.735294117647
h.yun_b,2023-03,5025,122.5609756097561,64646,1576.7317073170732
h.yun_b,2023-04,3526,110.1875,46830,1463.4375
h.yun_b,2023-05,3851,87.52272727272727,28541,648.6590909090909
h.yun_b,2023-06,3301,78.5952380952381,11744,279.6190476190476
h.yun_b,2023-07,2843,86.15151515151516,11910,360.90909090909093
h.yun_b,2023-08,483,69.0,2348,335.42857142857144
hoonxxy,2023-01,7788,169.30434782608697,52158,1133.8695652173913
hoonxxy,2023-02,8384,178.38297872340425,52053,1107.5106382978724
hoonxxy,2023-03,9894,149.9090909090909,60776,920.8484848484849
hoonxxy,2023-04,8856,164.0,59717,1105.8703703703704
hoonxxy,2023-05,10037,141.3661971830986,73120,1029.8591549295775
hoonxxy,2023-06,8113,108.17333333333333,82028,1093.7066666666667
hoonxxy,2023-07,9252,114.22222222222223,54744,675.8518518518518
hoonxxy,2023-08,1772,98.44444444444444,10222,567.8888888888889
jiseong,2017-08,57,28.5,2654,1327.0
jiseong,2017-12,20,6.666666666666667,2149,716.3333333333334
jiseong,2018-08,19,19.0,865,865.0
jiseong,2018-10,45,45.0,2620,2620.0
jiseong,2018-11,94,23.5,7898,1974.5
jiseong,2019-01,27,27.0,4123,4123.0
jiseong,2019-08,8,8.0,1482,1482.0
jiseong,2019-11,6,6.0,896,896.0
jiseong,2020-03,94,94.0,1926,1926.0
jiseong,2020-06,19,19.0,1256,1256.0
jiseong,2020-11,67,33.5,2584,1292.0
jiseong,2020-12,33,33.0,1163,1163.0
jiseong,2021-01,17,17.0,1574,1574.0
jiseong,2021-03,70,23.333333333333332,3186,1062.0
jiseong,2021-04,105,35.0,3686,1228.6666666666667
jiseong,2021-05,380,63.333333333333336,19695,3282.5
jiseong,2021-06,615,102.5,28200,4700.0
jiseong,2021-07,273,68.25,12960,3240.0
jiseong,2021-08,785,87.22222222222223,33243,3693.6666666666665
jiseong,2021-09,327,81.75,19058,4764.5
jiseong,2021-10,759,94.875,24162,3020.25
jiseong,2021-11,310,77.5,11345,2836.25
jiseong,2021-12,263,65.75,11054,2763.5
jiseong,2022-01,253,84.33333333333333,7050,2350.0
jiseong,2022-02,186,93.0,4666,2333.0
jiseong,2022-03,56,56.0,1969,1969.0
jiseong,2022-04,88,88.0,2341,2341.0
jiseong,2022-05,163,54.333333333333336,4802,1600.6666666666667
jiseong,2022-06,206,68.66666666666667,4637,1545.6666666666667
jiseong,2022-08,305,76.25,7091,1772.75
jiseong,2022-09,55,55.0,2877,2877.0
jiseong,2022-10,101,101.0,2582,2582.0
jiseong,2022-11,263,87.66666666666667,12953,4317.666666666667
jiseong,2022-12,819,102.375,52158,6519.75
jiseong,2023-01,862,123.14285714285714,72672,10381.714285714286
jiseong,2023-02,619,88.42857142857143,17011,2430.1428571428573
jiseong,2023-03,222,74.0,6445,2148.3333333333335
jiseong,2023-04,346,86.5,11512,2878.0
jiseong,2023-05,886,73.83333333333333,22505,1875.4166666666667
jiseong,2023-06,428,107.0,17415,4353.75
jiseong,2023-07,422,84.4,13115,2623.0
jiseong,2023-08,64,64.0,1850,1850.0
jun_seonng,2020-11,29,29.0,1345,1345.0
jun_seonng,2021-03,476,158.66666666666666,8809,2936.3333333333335
jun_seonng,2021-04,147,147.0,3463,3463.0
jun_seonng,2021-05,623,155.75,21378,5344.5
jun_seonng,2021-06,522,130.5,14934,3733.5
jun_seonng,2021-07,603,150.75,24108,6027.0
jun_seonng,2021-08,258,129.0,7095,3547.5
jun_seonng,2021-09,461,92.2,13392,2678.4
jun_seonng,2021-10,666,95.14285714285714,21381,3054.4285714285716
jun_seonng,2021-11,199,99.5,4836,2418.0
jun_seonng,2021-12,243,81.0,6754,2251.3333333333335
jun_seonng,2022-01,110,110.0,2996,2996.0
jun_seonng,2022-02,324,81.0,5901,1475.25
jun_seonng,2022-03,284,71.0,3992,998.0
jun_seonng,2022-04,368,92.0,7417,1854.25
jun_seonng,2022-05,438,73.0,7660,1276.6666666666667
jun_seonng,2022-06,187,62.333333333333336,4034,1344.6666666666667
jun_seonng,2022-08,619,77.375,13952,1744.0
jun_seonng,2022-09,396,49.5,11599,1449.875
jun_seonng,2022-10,597,49.75,32606,2717.1666666666665
jun_seonng,2022-11,421,32.38461538461539,6540,503.0769230769231
jun_seonng,2022-12,473,39.416666666666664,7248,604.0
jun_seonng,2023-01,583,44.84615384615385,6251,480.84615384615387
jun_seonng,2023-02,701,43.8125,16861,1053.8125
jun_seonng,2023-03,842,38.27272727272727,22829,1037.6818181818182
jun_seonng,2023-04,847,40.333333333333336,42950,2045.2380952380952
jun_seonng,2023-05,912,41.45454545454545,39203,1781.9545454545455
jun_seonng,2023-06,812,33.833333333333336,21303,887.625
jun_seonng,2023-07,1115,44.6,40152,1606.08
jun_seonng,2023-08,313,44.714285714285715,11043,1577.5714285714287
