username,year_month,comments_count_sum,comments_count_mean,like_count_sum,like_count_mean
babyjongok,2021-01,44,44,1627,1627
babyjongok,2021-05,50,50,1157,1157
babyjongok,2021-06,88,29,3487,1162
babyjongok,2021-07,47,47,1576,1576
babyjongok,2021-08,168,56,4839,1613
babyjongok,2021-12,20,20,1100,1100
babyjongok,2022-01,53,53,1637,1637
babyjongok,2022-02,35,35,1660,1660
babyjongok,2022-03,131,66,3548,1774
babyjongok,2022-04,64,32,3458,1729
babyjongok,2022-06,58,29,3215,1608
babyjongok,2022-07,304,61,11295,2259
babyjongok,2022-08,620,89,15258,2180
babyjongok,2022-09,1270,127,29623,2962
babyjongok,2022-10,775,86,16774,1864
babyjongok,2022-11,1079,135,17368,2171
babyjongok,2022-12,286,72,4395,1099
babyjongok,2023-01,1135,103,17815,1620
babyjongok,2023-02,1481,123,25565,2130
babyjongok,2023-03,2179,145,31732,2115
babyjongok,2023-04,2654,190,36358,2597
babyjongok,2023-05,4872,180,70732,2620
babyjongok,2023-06,4350,198,57755,2625
babyjongok,2023-07,4704,214,54956,2498
babyjongok,2023-08,1655,331,15628,3126
h.yun_b,2022-01,33,17,671,336
h.yun_b,2022-03,271,68,30763,7691
h.yun_b,2022-04,246,27,13703,1523
h.yun_b,2022-05,304,30,16229,1623
h.yun_b,2022-06,1810,91,326179,16309
h.yun_b,2022-07,1061,51,68838,3278
h.yun_b,2022-08,1977,79,197686,7907
h.yun_b,2022-09,3451,115,184054,6135
h.yun_b,2022-10,3858,117,147074,4457
h.yun_b,2022-11,4052,127,123428,3857
h.yun_b,2022-12,5016,148,98926,2910
h.yun_b,2023-01,4943,145,80118,2356
h.yun_b,2023-02,4377,129,106819,3142
h.yun_b,2023-03,5025,123,64646,1577
h.yun_b,2023-04,3526,110,46830,1463
h.yun_b,2023-05,3851,88,28541,649
h.yun_b,2023-06,3301,79,11744,280
h.yun_b,2023-07,2843,86,11910,361
h.yun_b,2023-08,483,69,2348,335
hoonxxy,2023-01,7788,169,52158,1134
hoonxxy,2023-02,8384,178,52053,1108
hoonxxy,2023-03,9894,150,60776,921
hoonxxy,2023-04,8856,164,59717,1106
hoonxxy,2023-05,10037,141,73120,1030
hoonxxy,2023-06,8113,108,82028,1094
hoonxxy,2023-07,9252,114,54744,676
hoonxxy,2023-08,1772,98,10222,568
jiseong,2017-08,57,29,2654,1327
jiseong,2017-12,20,7,2149,716
jiseong,2018-08,19,19,865,865
jiseong,2018-10,45,45,2620,2620
jiseong,2018-11,94,24,7898,1975
jiseong,2019-01,27,27,4123,4123
jiseong,2019-08,8,8,1482,1482
jiseong,2019-11,6,6,896,896
