username,media_product_type,media_type,comments_count,comments_count,like_count,like_count
,,,sum,mean,sum,mean
babyjongok,FEED,CAROUSEL_ALBUM,21135,160.11363636363637,311869,2362.6439393939395
babyjongok,FEED,IMAGE,3797,84.37777777777778,82751,1838.911111111111
babyjongok,FEED,VIDEO,44,44.0,1627,1627.0
babyjongok,REELS,VIDEO,3146,286.0,36311,3301.0
h.yun_b,FEED,CAROUSEL_ALBUM,36789,111.14501510574019,671638,2029.117824773414
h.yun_b,FEED,IMAGE,1810,69.61538461538461,68228,2624.153846153846
h.yun_b,REELS,VIDEO,11829,90.99230769230769,820641,6312.623076923077
hoonxxy,FEED,CAROUSEL_ALBUM,63914,139.85557986870896,443650,970.7877461706784
hoonxxy,FEED,IMAGE,182,182.0,1168,1168.0
jiseong,FEED,CAROUSEL_ALBUM,9078,78.93913043478261,343192,2984.278260869565
jiseong,FEED,IMAGE,1119,44.76,55400,2216.0
jiseong,REELS,VIDEO,540,135.0,64838,16209.5
jun_seonng,FEED,CAROUSEL_ALBUM,11972,57.55769230769231,296425,1425.1201923076924
jun_seonng,FEED,IMAGE,694,77.11111111111111,21585,2398.3333333333335
jun_seonng,REELS,VIDEO,1903,43.25,114022,2591.409090909091
kkang.stylist,FEED,CAROUSEL_ALBUM,18909,47.75,923106,2331.0757575757575
kkang.stylist,FEED,IMAGE,4693,13.485632183908047,136879,393.33045977011494
kkang.stylist,FEED,VIDEO,76,9.5,3458,432.25
kkang.stylist,REELS,VIDEO,2292,40.21052631578947,183247,3214.8596491228072
seer__eul,FEED,CAROUSEL_ALBUM,55526,148.46524064171123,1066477,2851.542780748663
seer__eul,FEED,IMAGE,19415,178.11926605504587,771289,7076.045871559633
seer__eul,REELS,VIDEO,2728,160.47058823529412,67462,3968.3529411764707
soominnnnn,FEED,CAROUSEL_ALBUM,69316,186.33333333333334,1108600,2980.1075268817203
soominnnnn,FEED,IMAGE,37522,165.29515418502203,594317,2618.136563876652
soominnnnn,FEED,VIDEO,38,38.0,676,676.0
soominnnnn,REELS,VIDEO,10899,205.64150943396226,208792,3939.4716981132074
w_woo.n,FEED,CAROUSEL_ALBUM,8118,39.6,307744,1501.190243902439
w_woo.n,FEED,IMAGE,13749,52.07954545454545,659008,2496.242424242424
w_woo.n,FEED,VIDEO,397,49.625,14080,1760.0
w_woo.n,REELS,VIDEO,1291,33.1025641025641,47594,1220.3589743589744
zzjun.k,FEED,CAROUSEL_ALBUM,9396,26.172701949860723,451581,1257.8857938718663
zzjun.k,FEED,IMAGE,528,13.538461538461538,46350,1188.4615384615386
zzjun.k,FEED,VIDEO,15,15.0,886,886.0
zzjun.k,REELS,VIDEO,51,8.5,3100,516.6666666666666
