username,media_product_type,media_type,comments_count_sum,comments_count_mean,like_count_sum,like_count_mean
babyjongok,FEED,CAROUSEL_ALBUM,21135,160,311869,2363
babyjongok,FEED,IMAGE,3797,84,82751,1839
babyjongok,FEED,VIDEO,44,44,1627,1627
babyjongok,REELS,VIDEO,3146,286,36311,3301
h.yun_b,FEED,CAROUSEL_ALBUM,36789,111,671638,2029
h.yun_b,FEED,IMAGE,1810,70,68228,2624
h.yun_b,REELS,VIDEO,11829,91,820641,6313
hoonxxy,FEED,CAROUSEL_ALBUM,63914,140,443650,971
hoonxxy,FEED,IMAGE,182,182,1168,1168
jiseong,FEED,CAROUSEL_ALBUM,9078,79,343192,2984
jiseong,FEED,IMAGE,1119,45,55400,2216
jiseong,REELS,VIDEO,540,135,64838,16210
jun_seonng,FEED,CAROUSEL_ALBUM,11972,58,296425,1425
jun_seonng,FEED,IMAGE,694,77,21585,2398
jun_seonng,REELS,VIDEO,1903,43,114022,2591
kkang.stylist,FEED,CAROUSEL_ALBUM,18909,48,923106,2331
kkang.stylist,FEED,IMAGE,4693,13,136879,393
kkang.stylist,FEED,VIDEO,76,10,3458,432
kkang.stylist,REELS,VIDEO,2292,40,183247,3215
seer__eul,FEED,CAROUSEL_ALBUM,55526,148,1066477,2852
seer__eul,FEED,IMAGE,19415,178,771289,7076
seer__eul,REELS,VIDEO,2728,160,67462,3968
soominnnnn,FEED,CAROUSEL_ALBUM,69316,186,1108600,2980
soominnnnn,FEED,IMAGE,37522,165,594317,2618
soominnnnn,FEED,VIDEO,38,38,676,676
soominnnnn,REELS,VIDEO,10899,206,208792,3939
w_woo.n,FEED,CAROUSEL_ALBUM,8118,40,307744,1501
w_woo.n,FEED,IMAGE,13749,52,659008,2496
w_woo.n,FEED,VIDEO,397,50,14080,1760
w_woo.n,REELS,VIDEO,1291,33,47594,1220
zzjun.k,FEED,CAROUSEL_ALBUM,9396,26,451581,1258
zzjun.k,FEED,IMAGE,528,14,46350,1188
zzjun.k,FEED,VIDEO,15,15,886,886
zzjun.k,REELS,VIDEO,51,9,3100,517
