cln_index,제품관심,username,loyalty_Lv1,loyalty_Lv2,loyalty_Lv3
1,34,seer__eul,146,842,255
2,13,seer__eul,160,746,100
3,19,seer__eul,304,406,142
4,19,seer__eul,0,0,234
5,12,seer__eul,165,1097,61
6,19,seer__eul,123,1112,128
7,14,seer__eul,95,1522,89
8,11,seer__eul,95,1606,66
9,16,seer__eul,105,866,163
10,14,seer__eul,0,0,119
11,14,seer__eul,125,1045,99
12,17,seer__eul,101,1404,111
13,14,seer__eul,80,1486,109
14,16,seer__eul,101,946,155
15,20,seer__eul,143,981,132
16,16,seer__eul,133,808,137
17,14,seer__eul,79,1011,162
18,12,seer__eul,128,1212,71
19,16,seer__eul,104,1089,131
20,17,seer__eul,110,781,182
21,6,seer__eul,123,1226,36
22,12,seer__eul,115,1018,95
23,20,seer__eul,0,0,149
24,16,seer__eul,109,1234,110
25,15,seer__eul,75,1861,100
26,22,seer__eul,64,1875,170
27,19,seer__eul,80,1783,122
28,12,seer__eul,68,1836,88
29,9,seer__eul,83,1711,58
30,17,seer__eul,76,1757,117
31,12,seer__eul,0,0,71
32,7,seer__eul,106,1035,59
33,3,seer__eul,152,1027,17
34,10,seer__eul,117,1126,70
35,12,seer__eul,128,724,120
36,15,seer__eul,133,970,107
37,16,seer__eul,132,865,130
38,10,seer__eul,128,932,77
39,6,seer__eul,257,626,34
40,3,seer__eul,123,1365,16
41,9,seer__eul,135,984,62
42,6,seer__eul,170,894,36
43,22,seer__eul,53,1491,258
44,15,seer__eul,163,777,109
45,11,seer__eul,129,852,92
46,13,seer__eul,97,831,149
47,12,seer__eul,111,744,134
48,4,seer__eul,0,0,125
49,8,seer__eul,119,1140,54
50,15,seer__eul,116,831,144
51,5,seer__eul,132,1171,29
52,5,seer__eul,166,990,28
53,10,seer__eul,128,1222,59
54,6,seer__eul,107,1460,35
55,4,seer__eul,160,805,28
56,15,seer__eul,115,898,135
57,11,seer__eul,117,914,95
58,9,seer__eul,131,816,78
59,3,seer__eul,124,1087,20
60,11,seer__eul,150,610,111
61,2,seer__eul,180,916,11
62,3,seer__eul,111,1419,17
63,10,seer__eul,153,954,63
64,4,seer__eul,146,766,33
65,16,seer__eul,137,665,163
66,12,seer__eul,210,810,65
67,14,seer__eul,174,817,91
68,10,seer__eul,132,1242,56
69,3,seer__eul,181,1003,15
70,9,seer__eul,127,1038,63
71,9,seer__eul,174,881,54
72,5,seer__eul,98,1240,38
73,7,seer__eul,102,1394,45
74,7,seer__eul,132,1170,41
75,11,seer__eul,0,0,67
76,2,seer__eul,106,1149,15
77,4,seer__eul,135,949,28
78,10,seer__eul,256,732,49
79,7,seer__eul,118,1189,46
80,11,seer__eul,128,1659,48
81,15,seer__eul,184,1062,71
82,14,seer__eul,405,854,37
83,12,seer__eul,145,898,85
84,9,seer__eul,188,782,56
85,4,seer__eul,162,777,29
