username,followers_count,media_count,ad_media,sf_ad_media,image_usage_Lv1,image_usage_Lv2,fashion_rel,marketing_performance
seer__eul,107419,534,288,260,0.5393258426966292,0.4868913857677903,0.9027777777777778,231.6565893596299
w_woo.n,74842,516,197,79,0.3817829457364341,0.15310077519379844,0.4010152284263959,101.7697101419248
hoonxxy,12738,458,252,206,0.5502183406113537,0.4497816593886463,0.8174603174603174,1080.8156310679612
kkang.stylist,104142,809,8,2,0.009888751545117428,0.002472187886279357,0.25,43.43397460937501
babyjongok,43628,189,52,37,0.2751322751322751,0.19576719576719576,0.7115384615384616,148.52021367521365
soominnnnn,139714,653,215,84,0.32924961715160794,0.12863705972434916,0.39069767441860465,6.859674418604651
jun_seonng,119328,261,113,18,0.4329501915708812,0.06896551724137931,0.1592920353982301,43.58278865790439
zzjun.k,15524,405,218,217,0.5382716049382716,0.5358024691358024,0.9954128440366973,155.37388219928647
h.yun_b,100080,487,114,70,0.23408624229979466,0.1437371663244353,0.6140350877192983,55.28893536517147
jiseong,75466,144,57,32,0.3958333333333333,0.2222222222222222,0.5614035087719298,241.9263125555825
