caption,comments_count,media_id,like_count,media_product_type,media_type,media_url,permalink,timestamp,username
"정신없던 3일 끝!
다시 일상으로 😉
.
.
#일상 #무빙 #무빙쇼케이스 #데일리룩코디 #남자패션 #남자모델 #koreanfashionstyle",36,17888073620883189,565,REELS,VIDEO,,https://www.instagram.com/reel/CvpNatKPKhq/,2023-08-07T12:51:34+0000,h.yun_b
"#광고 
웹툰 ‘무빙’의 강풀 작가와 '킹덤 시즌2'의 박인제 감독, '오징어 게임'에 참여한 최고의 제작진이 만들어낸 <무빙>의 쇼케이스에 다녀왔어요.😄

이번 시리즈에 출연하는 류승룡, 한효주, 조인성, 김성균님 등 대한민국 탑클래스 연기파 배우분들과 떠오르는 라이징 스타인 이정하, 고윤정, 김도훈님까지 한눈에 볼 수 있는 귀한 자리였고, 눈이 아주 호강하는 시간이였어요.😆

'무빙'은 초능력을 다룬 히어로물이지만 그 안에 무빙만의 개성이 녹아있어 기존의 히어로물과는 다른, 누구나 공감할수 있는 사랑, 가족에 대한 서사를 세밀이 적었다고 해요. 원작 작가님도 사람의 이야기를 하고 싶었다고 인터뷰 하신 만큼 사람들이 공감 할 수 있는 요소를 많이 넣었다고 하니 기대해도 좋을거 같아요!

디즈니+의 오리지널 시리즈 '무빙'은 오는 8월9일에 디즈니+에서 단독 공개된다고 하니 다들 얼른 볼 준비하세요!🏃🏻💨
.
.
#무빙 #무빙나잇 #무빙_팬쇼케이스 #디즈니플러스 #8월9일개봉",63,18008811259844379,585,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364993485_607733161479828_7540013398116342055_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=A7YOnVWZl40AX8-VFvv&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCaqLVQVdzMLNh93lecvZSqGpt2J9JYXn9GsiRQtiQrPQ&oe=64D5EAB1,https://www.instagram.com/p/Cvi-X-ZxhUx/,2023-08-05T02:40:13+0000,h.yun_b
"사진빨 잘 받았던
그 날의 기록..📝
.
.
#해운대가볼만한곳 #해리단길 #데일리룩코디 #캐주얼룩코디 #남자패션 #koreanfashionstyle #dailylook",56,18307897732098733,693,REELS,VIDEO,https://scontent.cdninstagram.com/o1/v/t16/f1/m82/7B43BEEAE1244B3BABCA177C31C887BC_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent.cdninstagram.com&_nc_cat=109&vs=946743783285825_3483676879&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC83QjQzQkVFQUUxMjQ0QjNCQUJDQTE3N0MzMUM4ODdCQ192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0xOVnl4V0dVLV9KQVF3QkFOMkpwU05sYTkwSmJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmzL6czfX%2B6T8VAigCQzMsF0AhgAAAAAAAGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfCaE6nNjNRKq_Khm-gg4XQcSZ7qUCeK3tWYxgHkYdBAig&oe=64D37C8F&_nc_sid=1d576d&_nc_rid=35689132b7,https://www.instagram.com/reel/CvhCgd4txrV/,2023-08-04T08:42:40+0000,h.yun_b
"요즘 내 최애 look👕
..이랄까?
.
.",78,17846291886034671,0,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364338780_2047884715548180_4243146960756083849_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=28yOy4NBq4UAX8faCAr&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBNXQTc-Q0RRF7MklX86tCWL3NNbmSo9suO7A244IfrYw&oe=64D61754,https://www.instagram.com/p/Cvehyr4xgZm/,2023-08-03T09:13:29+0000,h.yun_b
"오늘의 포인트☝🏻
Black & Yellow
.
.
#부산바다 #코랄라니 #남자모델 #koreanfashionstyle #dailylook",73,18010385458829236,505,REELS,VIDEO,,https://www.instagram.com/reel/Cvb3tnIPkgj/,2023-08-02T08:33:00+0000,h.yun_b
"흑백감성🎥
.
.",85,18200543935267579,0,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363898213_1512191979517333_1812723647866998182_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=U5GCE3ROh8MAX81dU5s&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBHKifvWcxg4dnMeZTMscCol1ECrzuG5YlavmSJE5RsZA&oe=64D6D0CF,https://www.instagram.com/p/Cva5WoIP5jX/,2023-08-01T23:22:25+0000,h.yun_b
"Coralani☕️
이러다가 부산 한바퀴 돌겠다🤣
.
.",92,17975064542274140,0,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363961541_808899200741407_9007965810376882887_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=PsM_o4ak2egAX8gD257&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCuXe556e8q78_wmgYVxg6a77Da8aQ_eHlcESidGlcYzA&oe=64D70913,https://www.instagram.com/p/CvZUsugRAwB/,2023-08-01T08:42:53+0000,h.yun_b
"부산에서 살고 싶은 요즘🌊
.
.",106,18070395754392074,0,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364190984_1644228889377623_3601258823050057831_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=w-dNs0zJAqgAX99XW_5&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfB2HqA8_vPqTsAvsvzkOhB1aQXtMTr9w617qyXOUc6W2w&oe=64D77423,https://www.instagram.com/p/CvWxlYGuyro/,2023-07-31T08:57:33+0000,h.yun_b
"사진으로만으론 아쉬운
부산 안난티코브 산책로 풍경
.
.
#부산바다 #부산가볼만한곳 #아난티코브 #남자패션 #데일리룩코디 #koreanfashionstyle",60,17985107315262617,496,REELS,VIDEO,,https://www.instagram.com/reel/CvUTZqHreZ_/,2023-07-30T09:58:21+0000,h.yun_b
"Busan ananti🌥️

풍경이 그림인
아난티코브 앞 산책로
.
.",94,18102298270334827,0,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363298398_185129784572880_8728515712093110611_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=1DS9EpiUNFgAX_FkzqL&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAnmXOxmVRriZgU49Zx1M6LV3owOVLF86otLZYU-usWeA&oe=64D6C632,https://www.instagram.com/p/CvPAwfURvRL/,2023-07-28T08:36:13+0000,h.yun_b
"한번 입었는데 장마끝..
폭염시작이라네?🤔

장마에 입으려고 산건데😅
.
.",111,17973105152295419,0,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363020818_2858634140938907_5424003084796250737_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=d0Elu56zyMIAX-NArgV&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBSlPxXkZmrt4mPIo5axwPJGPSVF9k8BA_GUqN-jS14mA&oe=64D732E6,https://www.instagram.com/p/CvMbtilxcoF/,2023-07-27T08:34:02+0000,h.yun_b
"#광고 
b.ready__official 
“로션 단 하나로 스킨케어부터 커버까지”

남성 토탈 스타일링 브랜드 비레디와 100만 뷰티 유튜버 디렉터파이가 공동 개발하여 스킨케어부터 커버까지 한 번에 해결해 주는 ‘트루 톤 로션’을 런칭 했어요!

스킨케어는 기본이고 선케어와 메이크업까지 하나로 담은 로션이에요.🧴

수분보습과 동시에 강력한 자외선 차단 (SPF 50+ PA ++++)을 해주고, 컬러 체인징 캡슐로 티 나지 않을 최소한의 톤 커버를 해주는데, 너무 좋은 제품이더라고요.

자주 사용할 거 같고, 다 쓰면 또 구매할 의사가 있을 만큼 마음에 드는 제품이에요!

𝗢𝗻𝗲 𝗹𝗼𝘁𝗶𝗼𝗻, 𝗔𝗹𝗹 𝘁𝗼𝗻𝗲𝘀.

비레디 트루 톤 로션과 함께 가장 나다운 잘생김을 표현해 보세요.😎
.
.
#비레디 #남자로션 #남자스킨케어 #남자BB크림 #CC크림 #남자메이크업 #남자친구선물추천",115,18068657620396230,545,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363355311_240130408346136_2867824352288537178_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=YJqlq0JGA-YAX_Zqxs8&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAXzArNejZNu1hF7JaA_ovmHIT4vWOVzV1GwZePJdlWLA&oe=64D67CF5,https://www.instagram.com/p/CvJ5GXex6Nc/,2023-07-26T08:53:06+0000,h.yun_b
"Busan Travel Reels 🌊

요즘 이 노래가 핫하다면서..!
.
.
#부산여행 #여행룩코디 #남자패션 #여름패션 #남자모델 #busantrip",100,17941338452676840,1134,REELS,VIDEO,,https://www.instagram.com/reel/CvHULBpMXzC/,2023-07-25T08:58:49+0000,h.yun_b
"#제품제공 rockportkorea 
편안한 착용감에 깔끔한 디자인을 갖춘 캐주얼화
토탈모션 코트 티 토 (CJ1305)

EVA솔 적용으로 신었을 때 상당히 가볍고, 락포트만의 토탈모션 기능이 발의 움직임에 완벽하게 반응해서 오래 걸어도 피로감이 덜 하더라고요.
게다가 디자인도 깔끔해서 어떤 코디든 다 잘어울리는 만능 스니커즈에요.

가볍고 편안한 신발을 원하시는 분은 락포트코리아 공식몰에서 해당 제품을 구매 할 수 있으니 한번 들어가보세요.

그리고 8월 15일까지 락포트 온오프라인 전 매장에서 슈캉스 이벤트도 진행중이니 10% 쿠폰과 추첨으로 증정되는 여행 상품권도 받아보세요!
.
.
#락포트 #ROCKPORT #토탈모션코트티토 #스니커즈 #스니커즈추천",87,18092310481354516,638,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362679931_992414438467683_6855075563383750546_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=4BW0dLFOJ30AX8pJK0e&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBAqBFyZtNLZhNTYo9tIEYTT4hxj3sGqHRHX5i4yOifuw&oe=64D6859F,https://www.instagram.com/p/CvEt8UqxTlo/,2023-07-24T08:39:24+0000,h.yun_b
"새롭게 꾸며졌다길래
다시 찾은 위글위글🌼
.
.",121,17992688929945316,0,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362007632_687875719826377_2957258868813056911_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Hv3qu2AqU4MAX_0SK93&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDaSjeRSpHcZrImADR2pzbvJCNjAXjKS2-vi9KHYyaQUA&oe=64D6E28A,https://www.instagram.com/p/CvBb-PDxz8V/,2023-07-23T02:04:40+0000,h.yun_b
