caption,comments_count,media_id,like_count,media_product_type,media_type,media_url,permalink,timestamp,username
"여름에는 ☀️ 주얼리로 포인트 주기 💎
#광고 #OPENWORKSTUDIO #OPWS #오픈워크스튜디오",64,17926154669742595,1850,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364281830_1041029253727311_9202628157960545575_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=0MBzVpaSZN0AX8tWwX7&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAo2xw7xGRNSrDoBo-gEelSnAYyai8TFXKeNdTAVD91eA&oe=64D66020,https://www.instagram.com/p/Cvce9SyLkUr/,2023-08-02T14:10:14+0000,jiseong
"#광고 #iamadiscoverer 
🌐 디스커버리와 함께한 주말 나들이 ! 오랜만에 나홀로나무 다녀왔습니다 🌳🌿
🩴 디스커버리의 텐션슬라이드는 4cm의 가벼운 쿠셔닝으로 착화감이 편안해서 좋았어요 :) 물에 뜨는 가벼운 소재로, 올여름 물놀이 갈 때도 신기 좋은 아이템으로 추천드려요 ! 🏖️
#디스커버리슬리퍼 #여름슬리퍼 #여름신발 #남자슬리퍼",94,17907872129801769,2507,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364264365_833923024708147_8258232316362514412_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=c4Noisl3wREAX-vNyVJ&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCvChrCtWRmRddNRaVWN2a2_9FRmKQpxje6visA7ML3TA&oe=64D617D5,https://www.instagram.com/p/CvUOpOwOfJr/,2023-07-30T09:13:46+0000,jiseong
뒤늦은 🎁인증 (자존감을 지켜주는 고양이래옹),78,18013825753738685,2977,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363320883_229450326194075_851331047767420634_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=fQvDc2HRGdoAX-GJuz0&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCxHY-PAqVEQhe2GVI7CoOFCFrhnyAI00gyZKEqIghudQ&oe=64D7143E,https://www.instagram.com/p/CvH1CcErErW/,2023-07-25T13:39:08+0000,jiseong
휴바 ~!*(휴무 바이브라는뜻),75,17962615280433679,1705,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/361119730_1301303527480671_3878245053411866377_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=r-pSQI6rdsAAX8KEayd&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBJKEtMMeSDWMHwwny4uzOr12F1Pi6vi1GAg4DTzc5kIg&oe=64D60E70,https://www.instagram.com/p/Cu57kOdy1QN/,2023-07-20T04:06:48+0000,jiseong
본체는 유교보이인데 예쁜 옷입는건 너무 재밌잖아요 🥹,95,18023043910584448,3176,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/358559367_1659608907876168_4828503133879972065_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=EUu1dxApAcsAX_lr3R8&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAByZT0cvGxijXRhiXxIL3VEreR8SwuXsL406W8fr8Vcw&oe=64D62518,https://www.instagram.com/p/CudvWvKS0mX/,2023-07-09T05:21:22+0000,jiseong
"여러분,, 저에게 무슨일이 있었냐면요 … 

크로플을 먹었습니다 😋",80,17986279532174366,2750,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/357119669_158607733887736_4941862441206993477_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=O5uxjnOIvk4AX-ktqmA&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCCsZXD46X7KAjcgTVJjffZJqrSBI0w_YpHyF8h5ezIXg&oe=64D6B0C4,https://www.instagram.com/p/CuMxin6xxn8/,2023-07-02T15:13:23+0000,jiseong
"나른한 일요일 🫠
#레씨토 #lecyto",78,17890080257836821,3673,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/354421205_610363181101766_1819005092711713450_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=jWzHCWqF6jgAX-NiDPk&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAvf3RGesOoQwyG11u2AYfG4a2c_vODwUjk8yKY4e7CcQ&oe=64D647AF,https://www.instagram.com/p/Ctn_hBJu2lG/,2023-06-18T08:23:36+0000,jiseong
"+ 예정에 없던 드라이브, 불꽃놀이 하려고 불 붙이자마자 번개 떨어지고 비온날도 추억인거죠 ^^; #을왕리",173,17958902009539707,2798,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/352849236_1905901476461088_5363160166503173412_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=XW9hVt_474YAX_AC7su&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAEmaL2_8AyCsKUMKJ1XtiyGKEstkUVIY2c8DdO7KerCw&oe=64D64B5A,https://www.instagram.com/p/CtWoiu3LAud/,2023-06-11T14:35:46+0000,jiseong
"#광고 edition_sensibility 
+ x + 에디션과 그라핀 스튜디오의 콜라보레이션 티셔츠를 입어봤습니다 :) 🌊 서핑과 비치컬쳐를 바탕으로 활동하는 작가님의 개성이 담긴 아트웍과 함께 매치한 리유저블백까지..! 시원한 여름 무드를 연출하기 좋았어요 🐳🐬

✔️ 제가 입은 제품외에도 <SUMMER WE LIKE> 컨셉으로 다양한 아트웍을 담아낸 제품들이 있으니 다가오는 여름준비는 에디션과 함께해요 💫💙
.
.
#edition #에디션 #에디션센서빌리티 #edtionsensibility #에디션X그라핀 #에디션그래픽티셔츠 #여름반팔코디",120,18187700035261908,9739,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/351269303_775423400720741_5743502943442224171_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=b1OpvvoKoLMAX_b6JZn&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCaQmOPCAV-vyCSOGaUmGxocLIOS-J8iCkYjzdvAwaZmw&oe=64D6AC4D,https://www.instagram.com/p/CtECUOMu-4o/,2023-06-04T09:15:24+0000,jiseong
"#광고 chanel.beauty.korea
💫 자신만의 길을 개척하는 남성을 위한 향수 ‘블루 드 샤넬’
그중에서도 ‘블루 드 샤넬 오 드 뚜왈렛’은 생기 있고 활기 넘치는 향으로, 새로운 시작을 하는 2030 남성에게 더욱 잘 어울리는 섬세하고 감각적인 향수입니다. 
💙🖤 가장 산뜻하게 블루 드 샤넬을 경험할 수 있는 블루 드 샤넬 오 드 뚜왈렛은 자몽의 시트러스와, 아로마틱 어코드, 베티버가 조화를 이루며 완성되는 상쾌하고 편안한 우디 향입니다.

💁🏻‍♂️ 지난번 소개해드렸던 ‘빠르펭’은 비교적 단조로운 조합으로 구성되어, 포근한 아로마향과 풍부한 느낌의 우드향이 제일 돋보였던 제품이라면, ✔️‘오 드 뚜왈렛’은 시트러스계열에 베이스 구성이 다양하게 조합된 향으로, 톡 쏘는 듯 한 독특한 향과 쌉싸름한 느낌으로 시작되는 첫 향을 베이스노트에서 산뜻함을 가지고 있는 우디 향이 받쳐주면서 조화를 이루어 신선하고 풍부한 향을 연출하는 매력적인 제품입니다. 🤤🌶️🪵
(잔향을 좋아하는 분들은 오 드 뚜왈렛을 더 추천드려요 )
++평소에도 사용하고 있었던 블루 드 샤넬의 스킨 케어 제품들과 함께 사용하니까 더욱 오랫동안 향을 즐길 수 있어서 좋았습니다 :)
#블루드샤넬 #샤넬뷰티 #샤넬향수 #샤넬남자향수",57,17959918064581621,1205,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/350779800_264966926026205_5210539911038810233_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=GqyN2RzziPYAX-95Pm_&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfARsKJltyujiZlxZb4d0n-dsA0iNbsl1EiiY1OYEQVCLw&oe=64D5BC96,https://www.instagram.com/p/Cs80xoFrFCx/,2023-06-01T14:02:24+0000,jiseong
