caption,comments_count,media_id,like_count,media_product_type,media_type,media_url,permalink,timestamp,username
"얼마나 신났으면 내가 셀카를 다 찍을까😅

해외여행 또 가고싶다✈️

8월은 변화의 시작
일단 해보자",42,18022060909622012,939,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364987808_301171839248932_4863204980254296908_n.heic?stp=dst-jpg&_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ZbCQ5Dc7K-IAX993gkw&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBiZ21X4BJwGqIDR9nFIqUXTAS88ounHu3ZvY_Mb_2i6Q&oe=64D74CD0,https://www.instagram.com/p/CvoOJ07RHhD/,2023-08-07T03:34:17+0000,jun_seonng
"일본도 더웠는데 한국은 더 덥네요..😅

민소매 부끄럽😉",43,18374512024051867,1039,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364959105_2079867202361950_8899732862159167349_n.heic?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=WKHF6LFwBd4AX8BaoeM&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBI6WA-H2aWWsUEBwVY4ore8s0LV1XHA_ktnrW4q_bSuA&oe=64D728CC,https://www.instagram.com/p/CvmJzckxHqW/,2023-08-06T08:17:48+0000,jun_seonng
"코디모음 보고가세요😊
유행 따라잡기 어렵다ㅎㅎㅎ",32,17983935914110821,948,REELS,VIDEO,,https://www.instagram.com/reel/CvkCs4zuCAh/,2023-08-05T12:38:11+0000,jun_seonng
"오늘같은 폭염엔 보라카이 호텔 수영장사진🏊🏻‍♂️

수영장 밴치에 누워있다가 
피자에 맥주까지 먹었었는데 진짜 최고였어요..👍🏻

하루에 한번씩 매일 들어갔던 수영장...
또 가고싶네요 다음 여행지 찾는중ㅎㅎㅎ",65,17965543337388453,3322,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/365295039_825384882267231_2507396921846868043_n.heic?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=n0fMsh-s0nUAX_XtP-V&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAoSCUMHWQHhgR0cDVqMWueNFNAiAVfzM_AT9B-e3BAOg&oe=64D6646D,https://www.instagram.com/p/CvgiaHMRyaz/,2023-08-04T03:57:21+0000,jun_seonng
"보라카이 꼭 가보세요 실제로 봐야 더 이뻐요🥰

I Love Boracay⛵",34,17987651075272140,1237,REELS,VIDEO,,https://www.instagram.com/reel/CvepOcoLeCl/,2023-08-03T10:20:11+0000,jun_seonng
"#제품제공 이렇게 입는것이 유행이람서?😉

오늘은 케주얼하게 입어봤어요!
와이케이 옷 잘하네.. 
색상도 예쁘게 잘 나왔고 가볍고 시원했어요!

이번주 일요일에 리프펌 간다.. 드 디 어 ..

#WAIKEI #와이케이",43,18014918875706576,1118,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363529137_613720237576178_3821178316748560862_n.heic?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=cDLlFA9Mxn0AX_HKHhT&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDMT7UTP7azKtMJAzQdw6ST6KA8CGT6Gvuq-r2fjxpaOA&oe=64D62C04,https://www.instagram.com/p/CvbM4mgRtu0/,2023-08-02T02:13:04+0000,jun_seonng
"아 진짜 다시가고싶다😭⛵✈️

보라카이 사랑해..
I Love Boracay❤",54,18018311740637543,2440,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364279904_1033075704520096_6906066077061955484_n.heic?stp=dst-jpg&_nc_cat=101&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=hCWaPbJLZDIAX_3o8L8&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBtTxNF2RU-hncg-mne7HgN7L4JxC7Mf17su5_ToErtqQ&oe=64D657D1,https://www.instagram.com/p/CvYm_z2RqZ1/,2023-08-01T02:03:32+0000,jun_seonng
"#광고 #iamadiscoverer

discoveryexpedition_kr

갑자기 막 자연으로 여행가고싶을때 있잖아요?
디스커버리 여름 셋업과 함께 다녀왔어요!🍀

백 프린팅 그래픽이 포인트로 너무 귀엽고 이쁘더라구요ㅎㅎ 팬츠는 정말 가볍고 쿨터치 냉감 소재인 프레시벤트를 사용해서 만들어서
시원하고 좋았어요!

#그래픽티셔츠 #반팔티셔츠 #쿨팬츠
#오버핏반팔티 #프린팅티셔츠
#반팔코디 #쿨카고팬츠 #여름반바지
#카고반바지 #반바지코디",41,18277067356180119,954,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363831431_298663109310125_502168013615716254_n.heic?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=MGN_ZCbiCUQAX-s9MkO&_nc_oc=AQl6udd8SL73kBP5XdkD_Ly0olA9dJXAoU9WTvdvxisLY7BYZVJYLynusK79iye15G4&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDE9xVekp0XpVf3seqYNGFL6uFf1QjcUwLpvs4txt41rw&oe=64D757AF,https://www.instagram.com/p/CvXIODKxYrv/,2023-07-31T12:15:21+0000,jun_seonng
"흰청 패션👍🏻

후쿠오카 보라카이 피드가 섞여도 
사진을 올릴때마다 행복하고
다시 가고싶어지네요😂",40,18017855980715731,1309,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363334205_992271712116142_6193035532474367513_n.heic?stp=dst-jpg&_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=e2fStt_kKbYAX_lbPEi&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBlw4UzbgF6HWVX9mx0UAlzbDi7de7XV9WH8W6G_9WwBg&oe=64D67D6F,https://www.instagram.com/p/CvRkME6xY4f/,2023-07-29T08:24:18+0000,jun_seonng
"보라카이 석양📸 

다시보고싶다",46,18093913660352600,1340,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363784524_637389758338558_8038057369726417018_n.heic?stp=dst-jpg&_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=4E5BEY79_CoAX_xFh3v&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCykA1OioM-3aYFATSYk9RZLDXm_bXeoasYXuLd8XAc-w&oe=64D6E48B,https://www.instagram.com/p/CvPbb45R8-N/,2023-07-28T12:29:20+0000,jun_seonng
