caption,comments_count,media_id,like_count,media_product_type,media_type,media_url,permalink,timestamp,username
"성수나드리 😋

ssrl_official #협찬
주우재님이 추천한 남자 데일리백 
dual pocket messenger bag",48,18387320281040094,599,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/366027524_6436110806474033_996894932773787297_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=swuKZIQQFWQAX_ciLOm&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfB3stdaBRFI2xfr5OU56TIEj_ognjukyqkSEjR5-ewPlQ&oe=64D77A7A,https://www.instagram.com/p/CvoQFq1yWzQ/,2023-08-07T03:51:12+0000,zzjun.k
"여름 세미 상수룩 못참아 버렸다 🫠

#협찬 #시그니처 #슬랙스",56,17990534756178151,967,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364208766_1200635053939481_5771228490333026653_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=cH1NlMpHhvIAX-Egsiz&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBaL6KTaOKpHTNppiKNYj6c8WvZs63KItcGSni19hjQRg&oe=64D779EB,https://www.instagram.com/p/CvbTqZ0ytI6/,2023-08-02T03:12:18+0000,zzjun.k
"디아도라 블록코어 🇮🇹

#협찬 #디아도라 #피트크루",55,18018081268642442,776,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364251287_830675535126812_6847214414520027122_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=tCULFfYYe5QAX8XECPe&_nc_oc=AQkF8JCfbSvJT2mWNJcgoVBXhTL0PK9qT6MHhs2cEV-ZoZwjkRPwApV3GIAVt2Aaalo&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDVc9_4m06hZdzESLtj0K9hiFE-nBK5rC2bavuNcWD-ig&oe=64D7AB88,https://www.instagram.com/p/CvWyBQkS0vW/,2023-07-31T09:01:22+0000,zzjun.k
"여름 코디가 맞겠지?.? 🫠

#광고 emotio_official #미니백",30,18046331278479013,778,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364174434_601503088839627_6731351066113774571_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=YOTaXXPOCwUAX_NwE3U&_nc_oc=AQmDVrySJe8rlgW11z0MBmYzeZcWclRbRDJnMGv0pJ_KbLC5ZqbUU2oqGVklvPH1oqY&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCfrzE1Ix9MIcCzxPJxqKckFCzYi0LSi8re4uqvm7tn-w&oe=64D6A3DC,https://www.instagram.com/p/CvUma3LSmHK/,2023-07-30T12:41:31+0000,zzjun.k
"올해 목표 3대 250 💪

hdex__official #반팔 #볼캡 #협찬",44,17996404766022985,805,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363306404_1013366023409329_8342856538148094063_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Lk7JD7KkWf0AX-qpxsc&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBvaMlqBe4ejmyZWTePnkfRbuBZzrMoG4nGLXCxDKgr_g&oe=64D73C32,https://www.instagram.com/p/CvPfcipy0MK/,2023-07-28T13:04:23+0000,zzjun.k
"요즘 날씨 esfp 히유…🫠

mainbooth #반팔 #협찬
프린팅이 귀여운 Sugary T-Shirt(BLACK)",56,17896446761781153,694,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363020578_825711572135684_5926082182322628013_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=zO83bgMMe7MAX94VDc0&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfB7uITszB69GBo4EuHQrcsLqaUChfrUupOBTHsYvVJATA&oe=64D63FFB,https://www.instagram.com/p/CvMV2Cay5EW/,2023-07-27T07:42:46+0000,zzjun.k
"Are you happy? 😋

jipsynet #집시 #상품제공
레터링 스크립트 로고 티셔츠 -블랙-",35,18066093658408446,679,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362891519_628374072399571_5077048866420756838_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=uVfh_7WtOaYAX_e8jlR&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAzMV0lYjyCXlU2MTnZcmfReu_ZUePGX8tE_cesN22kqg&oe=64D67526,https://www.instagram.com/p/CvHx3WASJhO/,2023-07-25T13:11:24+0000,zzjun.k
"limoak_voyager 
소고기니까 맛있는건 기본에 밑반찬까지 디지게 맛있는 #임옥 첨단점

📌임옥 첨단
 - 광주 광산구 임방울대로826번길19-20
 - 11:30~22:00",29,17986180847480987,808,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362791760_676680890560620_4214787693788658619_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=2mzJpWFNfNIAX-hcOS-&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDnWnZOJeG2_rr1Eh-9egcXHWUVo968kL9Y3zy_kevXxA&oe=64D765D4,https://www.instagram.com/p/CvFFjdKy7iA/,2023-07-24T12:05:44+0000,zzjun.k
"비가 이정도 와야 사람없는 카페 ☕️

dthirtyone #협찬
데일리, 커플티로 입을 티셔츠 찾는 다면 한번 보고 가시는게 어떨까요😉",50,18037823956503132,833,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362628895_307940594967333_6594757407097544322_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=elYOjA8M2d0AX-2MGwD&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCGQMQKDYkQ1Nk8sURwbz_cOQFeZKcT-c7AX6k1PlROcA&oe=64D77D0F,https://www.instagram.com/p/CvCbwWqS1wO/,2023-07-23T11:22:00+0000,zzjun.k
"파라슈트 데님 단정하게 입기?😉

dnsr__official #데님 
허벅지 워싱부터 디테일 예쁘게 들어간 #디앤써 파라슈트 와이드 데님 블루 💙",73,17990607293123779,782,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362047950_827549982358250_4815902706360288327_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=PSmTc0ndbcUAX-q3Nc_&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDeiFHEfvarQSsOhI3Gr0j9UwBa3NEKZtoixWOcaQ9aYg&oe=64D725CC,https://www.instagram.com/p/Cu6MHmQScyk/,2023-07-20T06:31:27+0000,zzjun.k
