caption,comments_count,media_id,like_count,media_product_type,media_type,media_url,permalink,timestamp,username
"8월엔 먹고 자고 놀기😋

 #HAZZYS#헤지스#Hazzyslconic#헤지스아이코닉#아이코닉셔츠#HappyHazzys#해피헤지스",170,18278674138120724,1988,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/366018203_623096242963511_1669110757878089351_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=9wC-gqmN39QAX8APS8Z&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAQzcPWtTTLZPFN4m6KOWBfwNSWrgMt-beqp0lSWY2F1A&oe=64D6B5C8,https://www.instagram.com/p/Cvo5KoiS2mJ/,2023-08-07T09:50:08+0000,babyjongok
"이 번 여름휴가는 청평 어거스트 펜션에서 놀고 왔어요!! 벌써 두 번째 방문인데 방문할 때마다 시설 이용 시 친절하게 잘 알려주셨던 거 같아요😌  제일 좋았던 점은 수영장이 넓고 쾌적했던 점! 또한 온 수풀까지 즐기실 수 있습니다. 숙소, 카페, 펍은 말할 것도 없이 너무 좋았어요 여름휴가 가실 거면 청평 어거스트로 펜션으로 가시는 걸 추천드려요👍🏻",294,18301482274129668,5050,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/365117351_601756311857896_2447015556308702088_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=MSFRxEXFIk0AX-UDpFT&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfD3bLu_hx4qljbTa7kJU_zDGqNnCBE3DAqdz6pSrOZfGw&oe=64D61A5A,https://www.instagram.com/p/Cvju3jZStvP/,2023-08-05T09:43:57+0000,babyjongok
"신발 어디 거냐고 많이 들었던 날~

p31_korea 

#스니커즈#화이트스니커즈#블랙스니커즈#오버솔 #스니커즈추천#여자스니커즈",196,17966479460391238,2877,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364396719_271676295581312_3977955442162855182_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=mTWKUrq_WBoAX_nRS1Y&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfBVVmnwo-t-9vxZEpRB0izAaImU-21q8ruUZbGGyEJLSg&oe=64D69570,https://www.instagram.com/p/CvhcmjKrahB/,2023-08-04T12:25:52+0000,babyjongok
"🙃

#어반드레스#avandress#비바셔스
#vivacious#avandress_celeb",255,17873998259943673,2704,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/364294119_266611796116158_3564108761462643765_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Tn7SWSohhQoAX9FinBM&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfC7Uv_GS5DotEPfK2fSay7Z_-95IYFJqsa_beywLlYtyg&oe=64D5C3E0,https://www.instagram.com/p/CvehQzTymG4/,2023-08-03T09:08:52+0000,babyjongok
영상의 제목을 지어주세요,740,18007689016882236,3009,REELS,VIDEO,,https://www.instagram.com/reel/CvY2KipspGc/,2023-08-01T04:16:41+0000,babyjongok
하이틴 느낌나는 카페,217,18019028398653194,2661,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363826417_1356974858578677_646257951725917489_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=B5RLALZYLFAAX9q0Rqg&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfCY-fzweX4n8yv6It60KaP2WcZvXEuLAWCQFPLMhHUhFA&oe=64D799CF,https://www.instagram.com/p/CvWyjWoS3eC/,2023-07-31T09:06:01+0000,babyjongok
"내가 만든 향수🙂

la.b_bokee  머리 문의는!! 

#성수향수공방#레트로성수#향수공방#성수공방#성수데이트#성수놀거리#성수핫플#원데이클래스",206,17974682078444235,2104,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363516334_1343573796239133_2871745971321250512_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=7oyvCV4WXJYAX-sNFzZ&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDKdGmjmMqOqyVpY71OVbv0wZezNXlQSb0P901RXxb5Qg&oe=64D617EC,https://www.instagram.com/p/CvSDhO4LMOB/,2023-07-29T12:58:05+0000,babyjongok
"웃으면복이와요^*^

#협찬 #chuck #척반팔티",322,17887603370867940,2913,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363304582_1319082022377788_4379335626536137959_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=YY-LtceDM7EAX-DpttN&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfAb0V1nyw2vRg38WRJvxuqhJwJn_u_JRYhbI-lIxnRpnw&oe=64D5F30C,https://www.instagram.com/p/CvPY7i_Ljrb/,2023-07-28T12:07:27+0000,babyjongok
"☁️가까이

reebokkorea",274,17995501397063728,2214,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/363502410_1410471009517755_1248962825840612129_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=eCnD1TH0tRAAX--CTvG&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfDyn96UXqrSqXLDiXSUghSOhtTPqdn1ThAah7Wi1MjWnQ&oe=64D74A36,https://www.instagram.com/p/CvMytpVrm3b/,2023-07-27T11:55:01+0000,babyjongok
옷이랑 조명이 다했다,350,18015086659731918,3970,REELS,VIDEO,,https://www.instagram.com/reel/CvKNv6eMOk3/,2023-07-26T11:55:56+0000,babyjongok
"인생 스니커즈

어떤스타일링에도 코디하기 쉽고 스타일리시한 제품
제품의 사용감 - 가볍고 편안한 착화감
티나지 않는 키높이 효과~

#스니커즈#화이트스니커즈#어글리슈즈#스니커즈#남자스니커즈#여자스니커즈",283,18092456347346082,4457,FEED,CAROUSEL_ALBUM,https://scontent.cdninstagram.com/v/t51.29350-15/362749640_1583547395468600_1378749462986427204_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rMqkzyqwNnQAX897TYD&_nc_ht=scontent.cdninstagram.com&edm=AL-3X8kEAAAA&oh=00_AfA61zwaSC5KfzwRra_zu6yjHhCXfZUvxxdHM4jqphPSPw&oe=64D6BEF6,https://www.instagram.com/p/CvHo1KVr6Im/,2023-07-25T11:52:28+0000,babyjongok
